code_division,label_division,code_major_group,label_major_group,code_group,label_group,code_detail,label_detail,description_detail,example,unsuitable_example
B,漁業,04,水産養殖業,041,海面養殖業,0415,種苗養殖業,海産魚介類の種苗養殖を行う事業所及び真珠母貝の稚貝を採苗し成貝まで養殖する事業所をいう。,"['ぶり類種苗養殖業', 'たい類種苗養殖業', 'くるまえび種苗養殖業', '真珠母貝養殖業', 'ほたてがい種苗養殖業', 'かき類種苗養殖業', 'わかめ種苗養殖業']",
B,漁業,04,水産養殖業,041,海面養殖業,0419,その他の海面養殖業,他に分類されない海産動物類の養殖を行う事業所をいう。,"['くるまえび養殖業', 'ほや類養殖業', 'がざみ養殖業', 'うに養殖業']",
B,漁業,04,水産養殖業,042,内水面養殖業,0421,内水面養殖業,内水面において行う養殖業で，池中養殖，ため池養殖，水田養魚，いけす養魚を行う事業所をいう。,"['こい養殖業', 'ふな養殖業', 'うなぎ養殖業', 'さけ・ます類養殖業', 'あゆ養殖業', '錦鯉養殖業', 'ティラピア養殖業', '金魚養殖業', 'すっぽん養殖業', '水田養魚業', 'どじょう養殖業', 'ぼら養殖業', '淡水真珠養殖業', '淡水真珠母貝養殖業']",
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,050,管理，補助的経済活動を行う事業所（05鉱業，採石業，砂利採取業）,0500,主として管理事務を行う本社等,主として鉱業，採石業，砂利採取業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。,['管理事務を行う本社・本所・本店・支社・支所'],
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,050,管理，補助的経済活動を行う事業所（05鉱業，採石業，砂利採取業）,0509,その他の管理，補助的経済活動を行う事業所,主として鉱業，採石業，砂利採取業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。,"['自家用車庫', '自家用修理工場', '自家用補修所', '自家用集荷所']",
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,051,金属鉱業,0511,金・銀鉱業,主として金鉱，銀鉱又は砂金の掘採を行う事業所及び選鉱（青化処理，とう（搗）鉱処理を含む）を行う事業所をいう。,"['金鉱業', '銀鉱業', '金銀鉱業', '砂金鉱業']",
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,051,金属鉱業,0512,鉛・亜鉛鉱業,主として鉛鉱，亜鉛鉱又は鉛亜鉛鉱の掘採を行う事業所及び選鉱を行う事業所をいう。,"['鉛鉱業', '亜鉛鉱業', '鉛亜鉛鉱業']",
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,051,金属鉱業,0513,鉄鉱業,主として鉄鉱の掘採を行う事業所及び選鉱を行う事業所をいう。,['鉄鉱業'],
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,051,金属鉱業,0519,その他の金属鉱業,主として他に分類されない金属鉱の掘採を行う事業所及び選鉱を行う事業所をいう。,"['白金鉱業', '砂白金鉱業', 'イリジウム鉱業', 'オスミウム鉱業', '銅鉱業', '硫化鉄鉱業', '黄鉄鉱業', '磁硫鉄鉱業', 'すず鉱業', '砂すず鉱業', 'アンチモン鉱業', '水銀鉱業', 'そう（蒼）鉛鉱業', 'ひ（砒）鉱鉱業', '砂鉄鉱業', 'タングステン鉱業', 'マンガン鉱業', '金属マンガン鉱業', '二酸化マンガン鉱業', 'クロム鉱業', '砂クロム鉱業', 'モリブデン鉱業', 'ニッケル鉱業', 'コバルト鉱業', '鉄マンガン鉱業', 'ウラン鉱業', '砂ウラン鉱業', 'トリウム鉱業']",
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,052,石炭・亜炭鉱業,0521,石炭鉱業（石炭選別業を含む）,無煙炭，せん石，れき青炭，亜れき青炭，かっ（褐）炭（亜炭を除く）の掘採及びこれに附随する選炭処理を行う事業所をいう。また，主として廃石，選炭廃水から石炭を選別し，又は回収する事業所も本分類に含まれる。,"['石炭鉱業', '炭鉱業', '石炭水洗業', '廃石選別業', '石炭回収業']",
